question,item,prop
01.学校积极开展了师德师风建设活动。,非常不符合,3.4
01.学校积极开展了师德师风建设活动。,一般,17.2
01.学校积极开展了师德师风建设活动。,比较符合,6.9
01.学校积极开展了师德师风建设活动。,非常符合,72.4
02.学校开展的师德师风建设活动形式深受教职工喜欢。,非常不符合,3.4
02.学校开展的师德师风建设活动形式深受教职工喜欢。,一般,13.8
02.学校开展的师德师风建设活动形式深受教职工喜欢。,比较符合,20.7
02.学校开展的师德师风建设活动形式深受教职工喜欢。,非常符合,62.1
03.学校建立了有效的师德师风考核机制。,非常不符合,3.4
03.学校建立了有效的师德师风考核机制。,一般,13.8
03.学校建立了有效的师德师风考核机制。,比较符合,27.6
03.学校建立了有效的师德师风考核机制。,非常符合,55.2
04.学校建立了畅通的师德师风监督举报机制。,非常不符合,3.4
04.学校建立了畅通的师德师风监督举报机制。,一般,17.2
04.学校建立了畅通的师德师风监督举报机制。,比较符合,20.7
04.学校建立了畅通的师德师风监督举报机制。,非常符合,58.6
06.工作让你感到心力交瘁。,从未如此,31.0
06.工作让你感到心力交瘁。,很少如此,27.6
06.工作让你感到心力交瘁。,有时如此,37.9
06.工作让你感到心力交瘁。,经常如此,3.4
07.早晨起来想到不得不又去面对一天的工作，你感到非常累。,从未如此,41.4
07.早晨起来想到不得不又去面对一天的工作，你感到非常累。,很少如此,31.0
07.早晨起来想到不得不又去面对一天的工作，你感到非常累。,有时如此,24.1
07.早晨起来想到不得不又去面对一天的工作，你感到非常累。,经常如此,3.4
08.上班时，你能很有效地处理学生和同事带给你的问题。,总是如此,44.8
08.上班时，你能很有效地处理学生和同事带给你的问题。,经常如此,27.6
08.上班时，你能很有效地处理学生和同事带给你的问题。,有时如此,20.7
08.上班时，你能很有效地处理学生和同事带给你的问题。,很少如此,3.4
08.上班时，你能很有效地处理学生和同事带给你的问题。,从未如此,3.4
09.自从开始干这个工作，你对人越来越冷淡了。,从未如此,65.5
09.自从开始干这个工作，你对人越来越冷淡了。,很少如此,20.7
09.自从开始干这个工作，你对人越来越冷淡了。,有时如此,13.8
10.你担心你的工作会使你变得越来越麻木。,从未如此,65.5
10.你担心你的工作会使你变得越来越麻木。,很少如此,17.2
10.你担心你的工作会使你变得越来越麻木。,有时如此,13.8
10.你担心你的工作会使你变得越来越麻木。,经常如此,3.4
11.你觉得精力非常充沛。,总是如此,48.3
11.你觉得精力非常充沛。,经常如此,27.6
11.你觉得精力非常充沛。,有时如此,20.7
11.你觉得精力非常充沛。,很少如此,3.4
12.工作让你有很强的挫折感。,从未如此,51.7
12.工作让你有很强的挫折感。,很少如此,17.2
12.工作让你有很强的挫折感。,有时如此,24.1
12.工作让你有很强的挫折感。,经常如此,3.4
12.工作让你有很强的挫折感。,总是如此,3.4
13.你并不关心学生和同事最近发生了什么事。,从未如此,62.1
13.你并不关心学生和同事最近发生了什么事。,很少如此,20.7
13.你并不关心学生和同事最近发生了什么事。,有时如此,13.8
13.你并不关心学生和同事最近发生了什么事。,经常如此,3.4
14.直接与人打交道的工作让你觉得压力太大。,从未如此,51.7
14.直接与人打交道的工作让你觉得压力太大。,很少如此,27.6
14.直接与人打交道的工作让你觉得压力太大。,有时如此,20.7
15.与学生和同事相处时，你很容易创造出轻松的气氛。,总是如此,37.9
15.与学生和同事相处时，你很容易创造出轻松的气氛。,经常如此,48.3
15.与学生和同事相处时，你很容易创造出轻松的气氛。,有时如此,10.3
15.与学生和同事相处时，你很容易创造出轻松的气氛。,很少如此,3.4
16.工作上与人密切协作后你觉得精神愉悦。,总是如此,58.6
16.工作上与人密切协作后你觉得精神愉悦。,经常如此,17.2
16.工作上与人密切协作后你觉得精神愉悦。,有时如此,24.1
17.你在工作中做成了很多有意义的事。,总是如此,48.3
17.你在工作中做成了很多有意义的事。,经常如此,24.1
17.你在工作中做成了很多有意义的事。,有时如此,27.6
18.你觉得竭尽全力却老做不成事。,从未如此,41.4
18.你觉得竭尽全力却老做不成事。,很少如此,37.9
18.你觉得竭尽全力却老做不成事。,有时如此,20.7
19.在工作中，你能很冷静地处理情绪问题。,总是如此,41.4
19.在工作中，你能很冷静地处理情绪问题。,经常如此,37.9
19.在工作中，你能很冷静地处理情绪问题。,有时如此,13.8
19.在工作中，你能很冷静地处理情绪问题。,很少如此,6.9
20.你觉得学生或同事会把自己的问题怪到你头上来。,从未如此,44.8
20.你觉得学生或同事会把自己的问题怪到你头上来。,很少如此,34.5
20.你觉得学生或同事会把自己的问题怪到你头上来。,有时如此,20.7
21.当前，你自己的专业发展意愿,比较平淡,6.9
21.当前，你自己的专业发展意愿,一般,27.6
21.当前，你自己的专业发展意愿,比较强烈,24.1
21.当前，你自己的专业发展意愿,非常强烈,41.4
22.当前，你对于自己的专业发展,有规划、无行动,6.9
22.当前，你对于自己的专业发展,有规划、少行动,34.5
22.当前，你对于自己的专业发展,有规划、多行动,58.6
24.你对职业教育新近政策的了解程度如何？,一般,27.6
24.你对职业教育新近政策的了解程度如何？,比较了解,51.7
24.你对职业教育新近政策的了解程度如何？,非常了解,20.7
25.对本专业涉及的行业发展与用人需求了解程度如何？,一般,13.8
25.对本专业涉及的行业发展与用人需求了解程度如何？,比较了解,62.1
25.对本专业涉及的行业发展与用人需求了解程度如何？,非常了解,24.1
26.近三年，你平均每年阅读专业书籍（教材除外）的数量是,0,3.6
26.近三年，你平均每年阅读专业书籍（教材除外）的数量是,1-2,25.0
26.近三年，你平均每年阅读专业书籍（教材除外）的数量是,3-5,39.3
26.近三年，你平均每年阅读专业书籍（教材除外）的数量是,6-10,21.4
26.近三年，你平均每年阅读专业书籍（教材除外）的数量是,10以上,10.7
28.你是哪种级别的“双师型”教师,都不是,44.8
28.你是哪种级别的“双师型”教师,初级,27.6
28.你是哪种级别的“双师型”教师,中级,6.9
28.你是哪种级别的“双师型”教师,高级,20.7
29.近三年，你主持的最高级别的科研项目（课题）是,没有主持,51.7
29.近三年，你主持的最高级别的科研项目（课题）是,校级,31.0
29.近三年，你主持的最高级别的科研项目（课题）是,市区级,13.8
29.近三年，你主持的最高级别的科研项目（课题）是,省部级,3.4
30.近三年，你主研的最高级别的科研项目（课题）是,没有主研,55.2
30.近三年，你主研的最高级别的科研项目（课题）是,校级,20.7
30.近三年，你主研的最高级别的科研项目（课题）是,市区级,20.7
30.近三年，你主研的最高级别的科研项目（课题）是,国家级,3.4
31.近三年，你主持的最高级别的教改项目（课题）是,没有主持,72.4
31.近三年，你主持的最高级别的教改项目（课题）是,校级,17.2
31.近三年，你主持的最高级别的教改项目（课题）是,市区级,10.3
32.近三年，你主研的最高级别的教改项目（课题）是,没有主研,69.0
32.近三年，你主研的最高级别的教改项目（课题）是,校级,13.8
32.近三年，你主研的最高级别的教改项目（课题）是,市区级,17.2
33.近三年，你在核心期刊上发表过的论文篇数是,0,72.4
33.近三年，你在核心期刊上发表过的论文篇数是,1,17.2
33.近三年，你在核心期刊上发表过的论文篇数是,3,6.9
33.近三年，你在核心期刊上发表过的论文篇数是,4及以上,3.4
34.近三年，你参与编写教材或专著的数量是,0,37.9
34.近三年，你参与编写教材或专著的数量是,1,31.0
34.近三年，你参与编写教材或专著的数量是,2,17.2
34.近三年，你参与编写教材或专著的数量是,3,13.8
35.目前，你已经获得职业资格证书级别是,没有,10.7
35.目前，你已经获得职业资格证书级别是,一级,10.7
35.目前，你已经获得职业资格证书级别是,二级,53.6
35.目前，你已经获得职业资格证书级别是,三级,17.9
35.目前，你已经获得职业资格证书级别是,四级及以下,7.1
36.你曾经在企业工作或实践的时间累计为,1年以内,46.4
36.你曾经在企业工作或实践的时间累计为,1-2年,28.6
36.你曾经在企业工作或实践的时间累计为,2-3年,3.6
36.你曾经在企业工作或实践的时间累计为,3年及以上,21.4
37.你是否参与了本专业人才培养方案的制定或修改？,否,34.5
37.你是否参与了本专业人才培养方案的制定或修改？,是,65.5
38.你对本专业的人才培养方案,比较不熟悉,3.4
38.你对本专业的人才培养方案,一般,17.2
38.你对本专业的人才培养方案,比较熟悉,55.2
38.你对本专业的人才培养方案,非常熟悉,24.1
40.本专业目前开展校企合作的程度如何？,一般,24.1
40.本专业目前开展校企合作的程度如何？,比较紧密,41.4
40.本专业目前开展校企合作的程度如何？,非常紧密,34.5
41.本专业目前开展校企合作的成效如何？,一般,31.0
41.本专业目前开展校企合作的成效如何？,比较明显,34.5
41.本专业目前开展校企合作的成效如何？,非常明显,34.5
43.本专业学生参加校内实训的时间应该有所增加。,一般,10.3
43.本专业学生参加校内实训的时间应该有所增加。,比较符合,55.2
43.本专业学生参加校内实训的时间应该有所增加。,非常符合,34.5
44.本专业学生参加校外见习实习的时间应该有所增加。,比较不符合,6.9
44.本专业学生参加校外见习实习的时间应该有所增加。,一般,20.7
44.本专业学生参加校外见习实习的时间应该有所增加。,比较符合,41.4
44.本专业学生参加校外见习实习的时间应该有所增加。,非常符合,31.0
45.本专业学生的校外见习实习有明确的任务设计。,比较不符合,3.4
45.本专业学生的校外见习实习有明确的任务设计。,一般,20.7
45.本专业学生的校外见习实习有明确的任务设计。,比较符合,41.4
45.本专业学生的校外见习实习有明确的任务设计。,非常符合,34.5
46.校外见习实习中，企业指导教师对本专业学生的指导非常负责。,一般,17.2
46.校外见习实习中，企业指导教师对本专业学生的指导非常负责。,比较符合,44.8
46.校外见习实习中，企业指导教师对本专业学生的指导非常负责。,非常符合,37.9
47.本专业教师对学生校内实训的指导水平非常高。,一般,24.1
47.本专业教师对学生校内实训的指导水平非常高。,比较符合,24.1
47.本专业教师对学生校内实训的指导水平非常高。,非常符合,51.7
48.学校对本专业学生的实习实训非常重视。,非常不符合,6.9
48.学校对本专业学生的实习实训非常重视。,一般,20.7
48.学校对本专业学生的实习实训非常重视。,比较符合,20.7
48.学校对本专业学生的实习实训非常重视。,非常符合,51.7
49.本专业学生见习实习的企业，在重庆本行业的影响力如何？,很小,6.9
49.本专业学生见习实习的企业，在重庆本行业的影响力如何？,较小,6.9
49.本专业学生见习实习的企业，在重庆本行业的影响力如何？,一般,31.0
49.本专业学生见习实习的企业，在重庆本行业的影响力如何？,较大,31.0
49.本专业学生见习实习的企业，在重庆本行业的影响力如何？,很大,24.1
50.你认为本专业的校内实训管理,非常松散,3.6
50.你认为本专业的校内实训管理,一般,17.9
50.你认为本专业的校内实训管理,比较严格,17.9
50.你认为本专业的校内实训管理,非常严格,60.7
51.你认为本专业的校外见习实习管理,一般,34.5
51.你认为本专业的校外见习实习管理,比较严格,13.8
51.你认为本专业的校外见习实习管理,非常严格,51.7
52.本专业的校内实训室能够满足教师的实践教学需求吗？,完全不满足,10.3
52.本专业的校内实训室能够满足教师的实践教学需求吗？,基本不满足,10.3
52.本专业的校内实训室能够满足教师的实践教学需求吗？,一般,24.1
52.本专业的校内实训室能够满足教师的实践教学需求吗？,基本满足,31.0
52.本专业的校内实训室能够满足教师的实践教学需求吗？,完全满足,24.1
53.本专业的校内实训室设施设备配置如何？,非常落后,6.9
53.本专业的校内实训室设施设备配置如何？,比较落后,10.3
53.本专业的校内实训室设施设备配置如何？,一般,17.2
53.本专业的校内实训室设施设备配置如何？,比较先进,37.9
53.本专业的校内实训室设施设备配置如何？,非常先进,27.6
54.本专业的校内实训室使用率如何？,比较低,6.9
54.本专业的校内实训室使用率如何？,一般,13.8
54.本专业的校内实训室使用率如何？,比较高,24.1
54.本专业的校内实训室使用率如何？,非常高,55.2
55.本专业校外实训基地的数量能够满足学生的实习实训需求吗？,完全不满足,6.9
55.本专业校外实训基地的数量能够满足学生的实习实训需求吗？,基本不满足,17.2
55.本专业校外实训基地的数量能够满足学生的实习实训需求吗？,一般,13.8
55.本专业校外实训基地的数量能够满足学生的实习实训需求吗？,基本满足,34.5
55.本专业校外实训基地的数量能够满足学生的实习实训需求吗？,完全满足,27.6
56.本专业校外实训基地的使用率如何？,非常低,3.4
56.本专业校外实训基地的使用率如何？,比较低,6.9
56.本专业校外实训基地的使用率如何？,一般,24.1
56.本专业校外实训基地的使用率如何？,比较高,27.6
56.本专业校外实训基地的使用率如何？,非常高,37.9
57.学校图书馆（室）中的图书报刊能够满足教师的专业发展需求吗？,完全不满足,7.1
57.学校图书馆（室）中的图书报刊能够满足教师的专业发展需求吗？,基本不满足,3.6
57.学校图书馆（室）中的图书报刊能够满足教师的专业发展需求吗？,一般,35.7
57.学校图书馆（室）中的图书报刊能够满足教师的专业发展需求吗？,基本满足,17.9
57.学校图书馆（室）中的图书报刊能够满足教师的专业发展需求吗？,完全满足,35.7
58.学校的数字资源（如教学视频音频，电子图书等）能够满足教师的教学需求吗？,完全不满足,6.9
58.学校的数字资源（如教学视频音频，电子图书等）能够满足教师的教学需求吗？,基本不满足,3.4
58.学校的数字资源（如教学视频音频，电子图书等）能够满足教师的教学需求吗？,一般,34.5
58.学校的数字资源（如教学视频音频，电子图书等）能够满足教师的教学需求吗？,基本满足,27.6
58.学校的数字资源（如教学视频音频，电子图书等）能够满足教师的教学需求吗？,完全满足,27.6
59.你认为本专业的课程结构（专业核心课、方向课等）非常合理。,非常不符合,3.4
59.你认为本专业的课程结构（专业核心课、方向课等）非常合理。,一般,20.7
59.你认为本专业的课程结构（专业核心课、方向课等）非常合理。,比较符合,41.4
59.你认为本专业的课程结构（专业核心课、方向课等）非常合理。,非常符合,34.5
60.在专业课中，实训课学时远远少于理论课学时。,非常不符合,10.3
60.在专业课中，实训课学时远远少于理论课学时。,比较不符合,20.7
60.在专业课中，实训课学时远远少于理论课学时。,一般,13.8
60.在专业课中，实训课学时远远少于理论课学时。,比较符合,37.9
60.在专业课中，实训课学时远远少于理论课学时。,非常符合,17.2
61.在专业课中，开设了一定比例的选修课来满足不同学生的需求。,非常不符合,6.9
61.在专业课中，开设了一定比例的选修课来满足不同学生的需求。,比较不符合,3.4
61.在专业课中，开设了一定比例的选修课来满足不同学生的需求。,一般,27.6
61.在专业课中，开设了一定比例的选修课来满足不同学生的需求。,比较符合,27.6
61.在专业课中，开设了一定比例的选修课来满足不同学生的需求。,非常符合,34.5
62.你认为专业课上所教的内容，能够满足企业的多种岗位需求。,比较不符合,3.4
62.你认为专业课上所教的内容，能够满足企业的多种岗位需求。,一般,20.7
62.你认为专业课上所教的内容，能够满足企业的多种岗位需求。,比较符合,48.3
62.你认为专业课上所教的内容，能够满足企业的多种岗位需求。,非常符合,27.6
63.你认为专业课中所教的内容没有充分反映新技术的发展。,非常不符合,10.3
63.你认为专业课中所教的内容没有充分反映新技术的发展。,比较不符合,24.1
63.你认为专业课中所教的内容没有充分反映新技术的发展。,一般,31.0
63.你认为专业课中所教的内容没有充分反映新技术的发展。,比较符合,20.7
63.你认为专业课中所教的内容没有充分反映新技术的发展。,非常符合,13.8
64.你认为专业课中所教的内容，对学生的实习实训很实用。,比较不符合,3.4
64.你认为专业课中所教的内容，对学生的实习实训很实用。,一般,20.7
64.你认为专业课中所教的内容，对学生的实习实训很实用。,比较符合,41.4
64.你认为专业课中所教的内容，对学生的实习实训很实用。,非常符合,34.5
65.你在备课授课中，会经常使用专业课教材。,一般,6.9
65.你在备课授课中，会经常使用专业课教材。,比较符合,44.8
65.你在备课授课中，会经常使用专业课教材。,非常符合,48.3
66.本专业自主开发了校本教材、实训任务书等教学用书。,是,65.5
66.本专业自主开发了校本教材、实训任务书等教学用书。,否,20.7
66.本专业自主开发了校本教材、实训任务书等教学用书。,不知道,13.8
67.你使用典型案例进行专业课教学的频率是,有时,20.7
67.你使用典型案例进行专业课教学的频率是,经常,41.4
67.你使用典型案例进行专业课教学的频率是,总是,37.9
68.你通过任务驱动来进行教学的频率是,偶尔,3.4
68.你通过任务驱动来进行教学的频率是,有时,10.3
68.你通过任务驱动来进行教学的频率是,经常,58.6
68.你通过任务驱动来进行教学的频率是,总是,27.6
69.你通过组织角色扮演来进行教学的频率是,有时,24.1
69.你通过组织角色扮演来进行教学的频率是,经常,55.2
69.你通过组织角色扮演来进行教学的频率是,总是,20.7
70.你通过创设工作岗位情境来进行教学的频率是,偶尔,6.9
70.你通过创设工作岗位情境来进行教学的频率是,有时,17.2
70.你通过创设工作岗位情境来进行教学的频率是,经常,55.2
70.你通过创设工作岗位情境来进行教学的频率是,总是,20.7
71.你通过让学生完成模拟或真实的工作项目来进行教学的频率是,偶尔,10.3
71.你通过让学生完成模拟或真实的工作项目来进行教学的频率是,有时,24.1
71.你通过让学生完成模拟或真实的工作项目来进行教学的频率是,经常,41.4
71.你通过让学生完成模拟或真实的工作项目来进行教学的频率是,总是,24.1
72.你经常对学生进行课后指导。,偶尔,6.9
72.你经常对学生进行课后指导。,有时,37.9
72.你经常对学生进行课后指导。,经常,31.0
72.你经常对学生进行课后指导。,总是,24.1
73.你采用的教学方法对提高学生的学习兴趣有帮助吗？,一般,10.3
73.你采用的教学方法对提高学生的学习兴趣有帮助吗？,比较有帮助,55.2
73.你采用的教学方法对提高学生的学习兴趣有帮助吗？,很有帮助,34.5
74.你采用的教学方法对学生掌握专业知识与技能有效吗？,一般,13.8
74.你采用的教学方法对学生掌握专业知识与技能有效吗？,比较有效,48.3
74.你采用的教学方法对学生掌握专业知识与技能有效吗？,非常有效,37.9
